2025-01-25 03:34:16 - Debugger session started.
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
2025-01-25 03:34:16 - NaN Check: 2 False
2025-01-25 03:34:16 - NaN Check: 1 False
