2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - NaN Check: 1 False
2025-01-25 03:40:49 - NaN Check: 2 False
2025-01-25 03:40:49 - add success True - 12866109
2025-01-25 03:40:49 - Midi Index: 69 | Intensity: 0 | Note Name: A4
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
2025-01-25 03:40:49 - NaN Check: 1 True
2025-01-25 03:40:49 - NaN Check: 2 True
