2025-01-25 03:37:53 - Debugger session started.
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:53 - NaN Check: 1 False
2025-01-25 03:37:53 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - Midi Index: 48 | Intensity: 32 | Note Name: C3
2025-01-25 03:37:54 - 
Resonance: 0 | Inflow: 0 | Outflow: 0 | Overflow: 0
- C3 | Intensity: 32

False | False | False | False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:54 - NaN Check: 1 False
2025-01-25 03:37:54 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - Midi Index: 48 | Intensity: 32 | Note Name: C3
2025-01-25 03:37:55 - 
Resonance: 0 | Inflow: 0 | Outflow: 0 | Overflow: 0
- C3 | Intensity: 32

False | False | False | False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:55 - NaN Check: 1 False
2025-01-25 03:37:55 - NaN Check: 2 False
2025-01-25 03:37:56 - NaN Check: 1 False
2025-01-25 03:37:56 - NaN Check: 2 False
2025-01-25 03:37:56 - NaN Check: 1 False
2025-01-25 03:37:56 - NaN Check: 2 False
2025-01-25 03:37:56 - NaN Check: 1 False
2025-01-25 03:37:56 - NaN Check: 2 False
2025-01-25 03:37:56 - NaN Check: 1 False
2025-01-25 03:37:56 - NaN Check: 2 False
2025-01-25 03:37:56 - Midi Index: 48 | Intensity: 32 | Note Name: C3
2025-01-25 03:37:56 - 
Resonance: 0 | Inflow: 0 | Outflow: 0 | Overflow: 0
- C3 | Intensity: 32

False | False | False | False
2025-01-25 03:37:56 - NaN Check: 1 False
